root_morphind	di	me
lahir	0	2
lalak	0	2
lalu	0	24
lambai	0	83
lambung	0	93
langsir	0	1
layat	0	48
ledak	0	247
legalisir	0	2
lejit	0	70
leleh	0	111
lembung	0	1
lempem	0	18
lenceng	0	42
lenggak lenggok	0	10
lenggang lenggok	0	3
lenting	0	28
lesak	0	24
lesap	0	3
letup	0	39
letus	0	243
lewat	0	2
libat	0	4
limpah	0	254
lindas	0	9
lingkar	0	222
lingsir	0	1
lipir	0	9
lipur	0	10
lolos	0	2
lompat	0	449
loncat	0	143
lonjak	0	2
luber	0	16
luncur	0	384
maju	0	1
mamahbiak	0	1
melas	0	29
muai	0	6
muncrat	0	3
nanap	0	5
ngeles	0	1
nikah	0	1351
nukil	0	3
nyanyi	0	167
obral	0	20
omel	0	44
pamer	0	1
pancar	0	60
pancung	0	3
pantik	0	41
patik	0	1
pejam	0	30
pencet	0	48
pepet	0	5
percik	0	11
perinci	0	29
peroleh	0	25
piara	0	1
picing	0	28
pijat	0	53
pintal	0	7
pintas	0	1
piting	0	6
pukau	0	70
raba	0	86
radak	0	1
rajalela	0	78
rajarela	0	1
rambat	0	125
rampat	0	1
rangkak	0	206
rangsek	0	91
rapah	0	1
rapu	0	2
rasuk	0	79
raut	0	3
rebah	0	7
rebak	0	92
redah	0	1
reguk	0	22
rejan	0	1
rekah	0	98
rekap	0	2
reken	0	1
rembes	0	57
rembet	0	49
renggang	0	22
rengkel	0	1
renung	0	110
reviu	0	6
rias	0	44
ricik	0	1
ringkik	0	17
ringkuk	0	170
ringkus	0	35
rintih	0	35
riung	0	5
robah	0	1
rompak	0	3
ronce	0	10
rongrong	0	36
rontok	0	1
ruah	0	7
ruak	0	1
rundung	0	4
runjam	0	1
runtuh	0	1
rurut	0	1
rutuk	0	9
ruwat	0	3
ruyak	0	18
sabot	0	3
sabung	0	11
sadap	0	44
sahut	0	71
salip	0	50
sambang	0	1
sambi	0	8
sanggang	0	1
sangkak	0	1
sangrai	0	3
sasak	0	2
sawer	0	4
sebrang	0	7
sedia	0	2
seka	0	187
selak	0	2
selap selip	0	1
seleweng	0	14
selia	0	1
selinap	0	162
selip	0	16
selisik	0	4
selonjor	0	2
selundup	0	9
selusup	0	20
sembul	0	77
sembunyi	0	1
semburat	0	6
sender	0	1
sengguk	0	1
sepah	0	1
serbak	0	2
serempet	0	9
sesap	0	36
silang	0	13
silih	0	1
singkir	0	149
singsing	0	20
sirat	0	1
sisih	0	1
sisip	0	7
skors	0	2
sontek	0	18
sosor	0	4
stop	0	1
sudet	0	1
sunggi	0	10
sungkit	0	1
sungsung	0	1
suruk	0	7
surut	0	9
susup	0	109
susur	0	18
susut	0	126
tabok	0	3
tahu	0	10
taja	0	1
takluk	0	1
tambat	0	7
tampi	0	2
tanak	0	29
tancap	0	78
tangap	0	1
tanggar	0	2
tangguk	0	20
tanjak	0	118
tatar	0	1
tatih	0	1
tating	0	3
tayang	0	1
tebah	0	4
teguk	0	51
teken	0	97
tekur	0	6
telantar	0	1
telisip	0	1
telungkup	0	12
tengadah	0	64
tenggak	0	55
tengguk	0	1
terabas	0	54
teran	0	8
terika	0	1
tetak	0	8
tetas	0	44
tiarap	0	1
tikung	0	29
tilap	0	7
tilep	0	2
timang	0	17
timbul	0	1
timpuh	0	2
timpuk	0	12
tindik	0	4
tinggung	0	3
tisik	0	4
titi	0	138
tohok	0	26
toleh	0	809
tongkrong	0	1
tonjok	0	11
tonjol	0	414
toyor	0	2
tukik	0	57
tular	0	511
tumpu	0	9
tunduk	0	354
tunggak	0	19
tunggang	0	51
tungging	0	8
turun	0	1300
ungsi	0	145
untit	0	35
uruk	0	12
urung	0	87
usai	0	16
usap	0	302
