LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
Semua teror ini tidak pernah ia	ceritakan	pada Bapak. Sementara Bung Karno heran mengapa Heldy tak pernah memenuhi u	Biografi	ia	pronomina	FALSE	
ktu luang bersama anak,	ceritakan	sebuah kisah kepadanya. Setelah Anda selesai bercerita, mintalah anak Anda	Populer				
Begitulah. Seperti sudah saya	ceritakan	pada bagian terdahulu, satu hari di tahun 1980, saya dipanggil oleh perusa	Biografi				
membaca kisah Nick Vujicic, masih pantaskah kamu merasa dirimu kurang? Coba	ceritakan	kepada temanmu sebangku! Kalau ada siswa yang duduk sendirian, ia boleh be	Buku_Teks				
secara mandiri kamu	ceritakan	teks tersebut di depan kelas. Kamu perlu meminta tanggapan dan masukan dar	Buku_Teks				
rdampak pada pertambahan pajak yang harus mereka bayar. Jabarkanlah ini dan	ceritakan	kepada pembaca tentang pertambahan pajak yang akan membebani mereka. Demik	Populer				
u ingat bagian yang pernah saya	ceritakan	. Bagian itu sudah beberapa kali saya ceritakan meski kerap tersela karena	Cerpen	saya	pronomina	TRUE	
Apa mau naik pangkat? Lalu ia	ceritakan	mimpinya pada suaminya. Oleh suaminya, disarankan mencoba beli lotre. Pada	Biografi				
nangis di depan semua orang yang berhasil menangkap saya. Dengan jujur saya	ceritakan	kenapa saya melakukan semua itu. Lalu saya diminta menunjukkan di mana say	Cerpen				
ali dalam semalam, yang diikuti bermimpi (tidur REM) dengan secara mudah di	ceritakan	sama orang lain, diperkirakan mencapai 20% dari waktu tidur total (Vaolina	Disertasi_Tesis_Skripsi				
"tur napas, """"diam dan dalam hening kalian dengarkan suara paling jauh, nanti"	ceritakan	"kepada saya setelahnya""""."	Biografi				
diskusi, lama-lama melebar dan tanpa saya sadar kisah-kisah fiksi juga saya	ceritakan	. Sebab, rasanya banyak fiksi yang berhubungan erat dengan butir-butir itu.	Cerpen	saya	pronomina	FALSE	
ila, janda kaya dari Batuurip, anaknya menentang. Tentu saja tak mungkin ia	ceritakan	alasan pernikahannya kepada Misral: mungkin Mila berasal dari keluarga ber	Cerpen				
edapatan berkah itu! Bandowo tak bisa ingat lagi kepada siapa saja telah ia	ceritakan	penemuan yang mengagumkan tersebut. Rasanya kepada setiap orang yang ia te	Novel				
a beberapa teman, latihan ini kami lanjutkan hingga SMA kelas II. Saya akan	ceritakan	pada tulisan tersendiri tentang hal ini.	Biografi				
n saya sangat baik dengan orang-orang di bidang oil spill, dan seperti saya	ceritakan	sebelumnya, bidang oil spill sangat exclusive. Kami mengenal satu sama lai	Biografi				
akhirnya, ia hanya bercerita tentang sebuah dongeng yang kepadamu pernah ia	ceritakan	, Roose. Dan Puji Tuhan, sepertinya anak-anak itu cukup senang. Dalam kelap	Cerpen	ia	pronomina	TRUE	
Saya	ceritakan	permasalahan saya ke Customer Service Tiket.com beberapa kali dan pihak Ti	Koran				
Dalam edifikasi itu,	ceritakan	sedikit tentang latar belakang sang rekan senior, komitmen dan integritasn	Populer				
