ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
229	ber+bondong<a>_VSA	bondong	reciprocal-collective-group-actions	a	3
1915	ber+teriak<n>_VSA	teriak	emotion-middle-speech-action	n	674
1868	ber+teduh<a>_VSA	teduh	self-protection-or-self-preservation	a	84
126	ber+bagi<n>_VSADASHlokasi<n>_NSDDASHterkini<a>_ASP	bagi	reciprocal-naturally-reciprocal-events	n	1
638	ber+hembus<v>_VSA	hembus	spontaneous-events-motion	v	29
136	ber+baik<a>_VSADASHhati<n>_NSD	baik hati	emotion-middle-2-participants	a	1
1322	ber+payudara<n>_VSA	payudara	reflexive-indirect	n	4
1770	ber+spekulasi<n>_VSA	spekulasi	cognition-middle	n	32
1562	ber+safari<n>_VSA	safari	translational-motion	n	7
907	ber+khianat<a>_VSA	khianat	emotion-middle-2-participants	a	43
482	ber+gairah<n>_VSA	gairah	emotion-middle-desiderative	n	128
1277	ber+paham<n>_VSA	paham	cognition-middle	n	12
1379	ber+petualang<n>_VSA	petualang	translational-motion	n	20
1480	ber+racun<n>_VSA	racun	reflexive-indirect-middle	n	187
864	ber+kelopak<n>_VSA	kelopak	spontaneous-events-animate-being	n	3
854	ber+kehendak<n>_VSA	kehendak	emotion-middle-desiderative	n	64
40	ber+alamat<n>_VSA	alamat	positionals	n	70
751	ber+jamur<n>_VSA	jamur	reciprocal-naturally-collective-actions	n	13
1192	ber+minat<n>_VSA	minat	emotion-middle-desiderative	n	235
329	ber+darah<n>_VSA	darah	spontaneous-events-animate-being	n	336
180	ber+beda<a>_VSA	beda	reciprocal-naturally-reciprocal-events	n	8075
563	ber+geser<v>_VSA	geser	translational-motion	v	276
1663	ber+sembah<n>_VSA	sembah	body-posture-change	n	1
1582	ber+sama<a>_VSADASHyang<s>_S--	sama	reciprocal-naturally-reciprocal-events	a	1
338	ber+daya guna<n>_VSA	daya guna	reflexive-indirect	n	7
867	ber+keluh<n>_VSA	keluh	emotion-middle-speech-action	n	40
2041	ber+visi<n>_VSA	visi	cognition-middle	n	7
1145	ber+make-up<f>_VSA	make-up	grooming	f	4
2014	ber+umur<n>_VSA	umur	reflexive-indirect	n	637
123	ber+badan<n>_VSA	badan	reflexive-indirect	n	385
1739	ber+simpuh<n>_VSA	simpuh	body-posture-change	n	81
522	ber+gelombang<n>_VSA	gelombang	spontaneous-events-change-of-state	n	96
601	ber+gunjing<n>_VSA	gunjing	emotion-middle-speech-action	n	23
927	ber+kluster<n>_VSA	kluster	reciprocal-naturally-reciprocal-events	n	1
1340	ber+peluru<n>_VSA	peluru	reflexive-indirect-middle	n	1
148	ber+bangga<a>_VSA	bangga	emotion-middle-1-participant	a	38
1613	ber+saudara<n>_VSA	saudara	reciprocal-naturally-reciprocal-events	n	210
1131	ber+lulur<n>_VSA	lulur	grooming	n	1
1087	ber+lemak<n>_VSA	lemak	reflexive-indirect	n	49
906	ber+khayal<n>_VSA	khayal	cognition-middle	n	36
227	ber+bohong<v>_VSA	bohong	emotion-middle-speech-action	v	236
524	ber+gelugut<v>_VSA	gelugut	non-trans-mot-contained	v	1
1257	ber+olahraga<n>_VSA	olahraga	body-actions-others	n	282
1858	ber+tasbih<n>_VSA	tasbih	reflexive-indirect-middle	n	8
1088	ber+lembaga<n>_VSA	lembaga	reciprocal-collective-group-actions	n	1
1331	ber+pekur<v>_VSA	pekur	cognition-middle	v	1
1478	ber+putus<a>_VSA	putus	reciprocal-naturally-reciprocal-events	v	25
1727	ber+sifat<n>_VSA	sifat	self-control	n	5827
1004	ber+kreativitas<n>_VSA	kreativitas	reflexive-indirect-middle	n	17
1595	ber+sandiwara<n>_VSA	sandiwara	reflexive-indirect-middle	n	8
1304	ber+partisipasi<n>_VSA	partisipasi	reciprocal-naturally-reciprocal-events	n	706
